Company_Brand,Founded,HeadQuarter,Sector,What_it_does,Founders,Investor,Amount,Stage,Fund_Year,Sector_Group
Thecollegefever,2017,Bangalore,"Brand Marketing, Event Promotion, Marketing, Sponsorship, Ticketing","thecollegefever is a hub for fun, fiesta and frolic of colleges.",Unknown,Undisclosed,250000.0,Seed,2018,Marketing & Advertising
Happy Cow Dairy,2017,Mumbai,"Agriculture, Farming",a startup which aggregates milk from dairy farmers in rural maharashtra.,Unknown,Undisclosed,40000000.0,Seed,2018,Agriculture
Myloancare,2017,Gurgaon,"Credit, Financial Services, Lending, Marketplace",leading online loans marketplace in india,Unknown,Undisclosed,65000000.0,Series A,2018,Finance & FinTech
Payme India,2017,Noida,"Financial Services, FinTech",payme india is an innovative fintech organization which offers short term financial suport to corporate employees.,Unknown,Undisclosed,2000000.0,Pre-Seed,2018,Finance & FinTech
Eunimart,2017,Hyderabad,"E-Commerce Platforms, Retail, SaaS",eunimart is a one stop solution for merchants to create a difference by selling globally.,Unknown,Undisclosed,0.0,Seed,2018,Information Technology
Hasura,2017,Bangalore,"Cloud Infrastructure, PaaS, SaaS","hasura is a platform that allows developers to build, deploy, and host cloud-native applications quickly.",Unknown,Undisclosed,1600000.0,Seed,2018,Information Technology
Tripshelf,2017,Kalkaji,"Internet, Leisure, Marketplace",tripshelf is an online market place for holiday packages.,Unknown,Undisclosed,16000000.0,Seed,2018,Information Technology
Hyperdata.Io,2017,Hyderabad,Market Research,hyperdata combines advanced machine learning with human intelligence.,Unknown,Undisclosed,50000000.0,Pre-Seed,2018,Data & AI
Freightwalla,2017,Mumbai,"Information Services, Information Technology",freightwalla is an international forwarder thats helps you manage supply chain by providing online tools including instant quotations.,Unknown,Undisclosed,0.0,Seed,2018,Information Technology
Microchip Payments,2017,Bangalore,Mobile Payments,microchip payments is a mobile-based payment application and point-of-sale device,Unknown,Undisclosed,0.0,Seed,2018,Finance & FinTech
Bizcrum Infotech Pvt. Ltd.,2017,Delhi,"B2B, Shoes",building transactionary b2b marketplaces,Unknown,Undisclosed,0.0,Seed,2018,Retail & E-Commerce
Emojifi,2017,Bangalore,Internet,"emojifi is an app that provides live emoji, stickers & gifs suggestions based on the typed words across chat platforms.",Unknown,Undisclosed,0.0,Seed,2018,Information Technology
Flock,2017,India,"Apps, Collaboration, Developer Platform, Enterprise Software, Messaging, Productivity Tools, Video Chat",flock is a real-time messaging and collaboration app for teams that speeds up and simplifies communication and boosts productivity.,Unknown,Undisclosed,0.0,Seed,2018,Information Technology
Freshboxx,2017,Hubli,Food Delivery,"freshboxx is incubated at sandbox startups, a unit of the deshpande foundation.",Unknown,Undisclosed,0.0,Seed,2018,Food & Beverage
Wide Mobility Mechatronics,2017,Bangalore,Industrial Automation,wide mobility mechatronics is a private company limited by shares,Unknown,Undisclosed,0.0,Seed,2018,Manufacturing & Industrial
Pitstop,2017,Bangalore,"Automotive, Search Engine, Service Industry",pitstop offers general repair and maintenance services for cars through its doorstep service vehicles.,Unknown,Undisclosed,100000000.0,Seed,2018,Logistics & Transportation
Mihuru,2017,Mumbai,"Finance, Internet, Travel",mihuru is an online platform which gives micro loans for air travel .,Unknown,Undisclosed,150000.0,Seed,2018,Finance & FinTech
Fyle,2017,Bangalore,"Accounting, Business Information Systems, Business Travel, Finance, SaaS",fyle is an intelligent expense management platform for enterprises.,Unknown,Undisclosed,1100000.0,Seed,2018,Finance & FinTech
Appwharf,2017,New Delhi,"Artificial Intelligence, Product Search, SaaS, Service Industry, Software",appwharf is an intelligent assistant that helps find you the best-fit saas for your business.,Unknown,Undisclosed,0.0,Seed,2018,Information Technology
Antariksh Waste Ventures Pvt Ltd,2017,Chennai,"Internet of Things, Waste Management",waste management for smart cities,Unknown,Undisclosed,500000.0,Seed,2018,Information Technology
Cogoport,2017,Mumbai,"Air Transportation, Freight Service, Logistics, Marine Transportation",cogoport is a platform that provides freight buying industry with spot rates and bidding process for freight buyers.,Unknown,Undisclosed,6000000.0,Series A,2018,Data & AI
Paisadukan,2017,Mumbai,Financial Services,a p2p lending marketplace platform,Unknown,Undisclosed,650000.0,Seed,2018,Finance & FinTech
Sleepy Owl Coffee,2017,New Delhi,Food and Beverage,"makers of a signature coffee that's exceptional in taste. it's super easy to brew, requires no equipment & ships to your door.",Unknown,Undisclosed,35000000.0,Seed,2018,Food & Beverage
Bluejack,2017,Delhi,Autonomous Vehicles,delhi-based online used vehicles marketplace.,Unknown,Undisclosed,64000000.0,Seed,2018,Logistics & Transportation
